id,name,price,cost,weight_grams
bk-342,Chasing the Flame,309,,
bk-343,Chatter,209,,
bk-344,Chemistry and Technology of Silicones,309,,
bk-345,Cleopatra and Antony,209,,
bk-346,Coffee Can Investing,199,,
bk-347,Conquering the Chaos,209,,
bk-348,Crazy Rich Asians,189,,
bk-349,Curse for True Love,209,,
bk-350,The Defector,159,,
bk-351,Darkverse Series,1009,,
bk-352,Darkdawn,209,,
bk-353,Data Driven Marketing,209,,
bk-354,Never Finished,159,,
bk-355,Daydream,189,,
bk-357,My Autobiography,309,,
bk-362,Durand's Curse,209,,
bk-365,Equity Culture,209,,
bk-366,Everything Is F*cked,149,,
bk-367,Excuses Begone!,209,,
bk-368,Factfulness,189,,
bk-369,Fault Lines,209,,
bk-370,Fire and Fury,209,,
bk-372,Flawed,220,,
bk-375,The Fury,209,,
bk-376,Girl in Pieces,189,,
bk-378,Global Tilt,209,,
bk-379,Globalization and Its Discontents,209,,
bk-380,Go Set a Watchman,309,,
bk-382,"Good Vibes, Good Life",149,,
bk-383,Great People Decisions,309,,
bk-384,Wise Guy,309,,
bk-385,Harry Potter Set,1409,,
bk-386,Heart Bones,169,,
bk-387,How to Fall in Love,209,,
bk-388,How to Treat Her Right?,139,,
bk-389,HDFC Bank 2.0,209,,
bk-390,I Do What I Do,209,,
bk-391,Ikigai,149,,
bk-392,Insurgent,139,,
bk-393,Inventing Money,209,,
bk-394,Investment Biker,309,,
bk-396,It Starts with Us,159,,
bk-397,Jack: Straight from the Gut,229,,
bk-398,Street Smarts,229,,
bk-399,Jugalbandi,309,,
bk-400,Keep Going,159,,
bk-402,Know How,209,,
bk-403,Lean In,179,,
bk-404,Leading,209,,
bk-405,Light on Yoga,159,,
bk-407,Lost Girls,209,,
bk-408,Lucy Score Book Set,699,,
bk-410,Madam Sir,209,,
bk-411,Magic of the Lost Temple,139,,
bk-412,Malcolm Gladwell,209,,
bk-413,Market Wizards,249,,
bk-414,The Dark Hours,339,,
bk-415,The Target,329,,
bk-417,Mindset,159,,
bk-420,Nani A. Palkhivala - A Life,209,,
bk-421,And Then One Day,409,,
bk-422,Never Split the Difference,159,,
bk-426,One Piece,209,,
bk-428,Origins of the Crash,209,,
bk-429,Paula: My Story So Far,309,,
bk-430,Percy Jackson Ultimate Collection,309,,
bk-431,The Greed Merchants,229,,
bk-434,Quiet,309,,
bk-435,Reengineering the Corporation,309,,
bk-436,Reminders of Him,159,,
bk-437,Rework,179,,
bk-438,Rich Dad Poor Dad,159,,
bk-440,Sacred Games,159,,
bk-442,Shatter Me Series,1309,,
bk-444,Super Trader,209,,
bk-445,Sweet Venom,209,,
bk-447,Technical Analysis of Financial Markets,309,,
bk-450,The Bane Chronicles,209,,
bk-451,The Bell Jar,159,,
bk-452,The Big Short,259,,
bk-453,The Broken Ear,209,,
bk-454,The Comfort Crisis,339,,
bk-456,The Fault in Our Stars,149,,
bk-457,The Final Gambit,179,,
bk-458,The First Fifteen Lives of Harry August,259,,
bk-459,The Girls,289,,
bk-460,The House of Morgan,309,,
bk-461,The Inheritance Games,169,,
bk-463,The Last Letter,239,,
bk-464,The Leadership Engine,309,,
bk-466,The Lords of Strategy,309,,
bk-467,The Maverick Effect,259,,
bk-468,The Mind of Wall Street,309,,
bk-470,The Naturals Set,999,,
bk-471,The Power Broker,309,,
bk-472,The Second Machine Age,309,,
bk-474,The Sun Is Also a Star,199,,
bk-475,The Things We Leave Behind,229,,
bk-477,The Wal-Mart Effect,229,,
bk-478,The Witch of Portobello,209,,
bk-479,The Witcher,209,,
bk-480,The World Is Flat,309,,
bk-481,Things We Never Got Over,239,,
bk-482,Tintin Set,4909,,
bk-483,Tintin,309,,
bk-484,To Catch a Russian Spy,309,,
bk-485,Tom Gates,159,,
bk-487,Tuesdays with Morrie,149,,
bk-488,Unhinged,209,,
bk-489,Venture Deals,339,,
bk-490,An Equal Music,309,,
bk-492,Warmth,139,,
bk-493,We Don't Die,309,,
bk-494,Welcome to the Hyunam-dong Bookshop,159,,
bk-496,When the Wolves Bite,309,,
bk-498,Who Will Cry When You Die?,149,,
bk-499,Why Nations Fail,339,,
bk-500,Wilbur Smith,309,,
bk-501,Winning Ugly,309,,
bk-502,Word Power Made Easy,159,,
bk-505,Your Money & Your Brain,209,,
bk-507,Hero,159,,
bk-508,Crooked House,189,,
bk-509,Blue Sisters,189,,
bk-511,Cleopatra and Frankenstein,189,,
bk-512,The Midnight Library,169,,
bk-513,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,169,,
bk-514,"Trading in the Zone: Master the Market with Confidence, Discipline, and a Winning Attitude",169,,
bk-515,The Striker,239,,
bk-516,The Defender,239,,
bk-518,It Ends with Us,169,,
bk-519,The Song of Achilles,199,,
bk-520,A Court of Thorns and Roses,399,,
bk-521,1984,129,,
bk-522,To Kill a Mockingbird,149,,
bk-523,The Great Gatsby,129,,
bk-524,How to Win Friends and Influence People,149,,
bk-525,Think and Grow Rich,129,,
bk-526,Man's Search for Meaning,169,,
bk-527,The Power of Your Subconscious Mind,139,,
bk-528,Where the Crawdads Sing,199,,
bk-529,Five Point Someone,149,,
bk-530,2 States,149,,
bk-531,The 3 Mistakes of My Life,149,,
bk-532,Half Girlfriend,149,,
bk-533,Revolution 2020,149,,
bk-534,The Blue Umbrella,99,,
bk-535,The Room on the Roof,129,,
bk-536,A Flight of Pigeons,129,,
bk-537,Malgudi Days,149,,
bk-538,The Guide,149,,
bk-539,The Monk Who Sold His Ferrari,169,,
bk-540,The 5 AM Club,179,,
bk-541,The Power of Now,199,,
bk-542,Jaya: An Illustrated Retelling of the Mahabharata,299,,
bk-543,Sita: An Illustrated Retelling of the Ramayana,299,,
bk-544,I Too Had a Love Story,139,,
bk-545,November 9,169,,
bk-546,Confess,169,,
bk-547,All Your Perfects,169,,
bk-548,Maybe Someday,169,,
bk-549,Layla,169,,
bk-550,Beach Read,179,,
bk-551,Book Lovers,179,,
bk-552,Happy Place,179,,
bk-553,Funny Story,179,,
bk-554,Not in Love,199,,
bk-555,Bride,199,,
bk-556,Check & Mate,199,,
bk-557,Deep End,199,,
bk-558,Daisy Jones & The Six,199,,
bk-559,Malibu Rising,199,,
bk-560,Carrie Soto Is Back,199,,
bk-561,Things We Hide from the Light,199,,
bk-562,Things We Left Behind,199,,
bk-563,Throne of Glass,349,,
bk-564,Six of Crows,299,,
bk-565,Shadow and Bone,279,,
bk-566,Mistborn: The Final Empire,399,,
bk-567,The Way of Kings,499,,
bk-568,Dune,299,,
bk-569,The Name of the Wind,349,,
bk-570,Red Queen,249,,
bk-571,Gone Girl,199,,
bk-572,Sharp Objects,189,,
bk-573,The Da Vinci Code,199,,
bk-574,Angels & Demons,199,,
bk-575,Inferno,199,,
bk-576,The Girl with the Dragon Tattoo,229,,
bk-577,Shutter Island,189,,
bk-578,Lessons in Chemistry,239,,
bk-579,"Tomorrow, and Tomorrow, and Tomorrow",249,,
bk-580,Yellowface,239,,
bk-581,Babel,349,,
bk-582,Klara and the Sun,229,,
bk-583,Never Let Me Go,199,,
bk-584,The Catcher in the Rye,149,,
bk-585,Brave New World,149,,
bk-586,Little Women,149,,
bk-587,Jane Eyre,149,,
bk-588,Wuthering Heights,149,,
bk-589,The Picture of Dorian Gray,129,,
bk-590,Anna Karenina,199,,
bk-591,War and Peace,299,,
bk-592,Outliers,199,,
bk-593,Blink,199,,
bk-594,Talking to Strangers,199,,
bk-595,The Tipping Point,199,,
bk-596,The 4-Hour Workweek,249,,
bk-597,The Obstacle Is the Way,199,,
bk-598,Ego Is the Enemy,199,,
bk-599,Show Your Work,149,,
bk-600,Eat That Frog,129,,
bk-601,Dopamine Nation,229,,
bk-602,Demon Slayer: Kimetsu no Yaiba,199,,
bk-603,Naruto,199,,
bk-604,Death Note,199,,
bk-605,Attack on Titan,199,,
bk-606,My Hero Academia,199,,
bk-607,Berserk,399,,
bk-608,Tokyo Ghoul,199,,
bk-609,A Random Walk Down Wall Street,299,,
bk-610,When Haru Was Here,169,,
bk-611,Cosmos,199,,
bk-612,I Want to Eat Your Pancreas,179,,
bk-613,The God Delusion,319,,
bk-614,The Off-Campus Set,899,,
bk-615,Surrounded by Psychopaths,149,,
bk-616,Surrounded by Bad Bosses,169,,
bk-617,Surrounded by Setbacks,159,,
bk-618,The Deal,199,,
bk-619,The Mistake,199,,
bk-620,The Score,199,,
bk-621,The Goal,199,,
bk-622,The Legacy,199,,
bk-623,"The Boy, the Mole, the Fox and the Horse",319,,
bk-624,Big Panda and Tiny Dragon,319,,
bk-625,The Journey: A Big Panda and Tiny Dragon Adventure,319,,
bk-626,Japanese Candlestick Charting Techniques,179,,
bk-627,A Court of Mist and Fury,239,,
bk-628,A Court of Wings and Ruin,239,,
bk-629,A Court of Frost and Starlight,239,,
bk-630,A Court of Silver Flames,239,,
bk-631,A Court of Thorns and Roses Box Set (5 Books),1199,,
bk-632,Powerless,199,,
bk-633,Reckless,199,,
bk-634,Fearless,199,,
bk-635,The Powerless Trilogy Box Set (3 Books),599,,
bk-636,The Cruel Prince,199,,
bk-637,The Wicked King,199,,
bk-638,The Queen of Nothing,199,,
bk-639,The Cruel Prince Series Box Set (3 Books),559,,
bk-640,Sunrise on the Reaping,219,,
bk-641,Silver Elite,249,,
bk-642,The Knight and the Moth,299,,
bk-643,Love on the Brain,189,,
bk-644,The Spanish Love Deception,199,,
bk-645,If He Had Been with Me,149,,
bk-646,Intermezzo,239,,
bk-647,"Tomorrow, and Tomorrow, and Tomorrow",199,,
bk-648,The God of the Woods,149,,
bk-649,The Wedding People,229,,
bk-650,Butter,229,,
bk-651,The Widow,199,,
bk-652,First Lie Wins,149,,
bk-653,Outlive,189,,
bk-654,A House Without Windows,199,,
bk-655,Did She Ever Love Me,199,,
